A,B,C,D,LABEL
1.0,34000000.0,34000000.0,6235326.0,0
,11700000000.0,,394320308.0,0
141.0,771039781.0,7177773292.0,6640748.0,0
,,,1109056.0,0
,186227850610.0,,890026314.0,0
,,,,0
16.0,2062158500.0,2100605117.0,24646.0,0
14.0,8589521015.0,8601002137.0,0.0,0
,,,62286.0,0
303.0,6019899079.0,14681837679.0,,0
7.0,709580829.0,709580829.0,,0
,3840000000.0,,1535963.0,0
416.0,151504107487.0,247895056809.0,,0
,,,,0
,,,4520130.0,0
,,,1233633955.0,0
104.0,4615229651.0,10466385575.0,182682788.3,0
,,,6229943.0,0
,,,30975323.0,0
2.0,21000000.0,21000000.0,19778068.0,0
1.0,,50000000.0,97504444.0,0
,,,,0
,138259000000.0,,80797635.0,0
,10610473692.0,,,0
5.0,,51030000000.0,96143758.0,0
,,,170052.0,0
5.0,2677764320.0,5320657512.0,24587.0,0
,,,67804220.0,0
25.0,9451000000.0,9513000000.0,8918049.0,0
,,,284126210.0,0
,6020000000.0,,27608825.0,0
,200000000.0,,26301986.0,0
29.0,1437069992.0,3887208869.0,429085.0,0
,,,5645167.0,0
,,,240200035.3,0
,,,165000.0,0
,,,449680312.8,0
,34000000000.0,,2939922.0,0
,,,50822298.0,0
51.0,19917723944.0,22772878944.0,52394183.0,0
,1418000000.0,,627306.0,0
,,,12076.0,0
15.0,3409826177.0,6725645570.0,13138602.0,0
,,,,0
,,,244283.0,0
,25327500000.0,,295450830.0,0
,,,7727506.0,0
,,,3336854.0,0
,2200000000.0,,73277769.0,0
81.0,1556003338.0,4001819268.0,116394.0,0
146.0,13917886454.0,25475650635.0,,0
,,,14267.0,0
,590983303008.0,,172607642.0,0
63.0,8577369617.0,11780414617.0,704922466.0,0
,4155071971512.0,,,0
24.0,12638714870.0,14173714870.0,2588145.0,0
163.0,3617442000.0,6786723247.0,495496.0,0
,3333505398275.0,,,0
,50066129745.0,,49549379.0,0
,,,11500.0,0
,13420447470.0,,430078465.0,0
6.0,55285347.0,55285347.0,424664.0,0
63.0,6620629651.0,13256449254.0,,0
,16147820000.0,,420244148.0,0
,,,698760.0,0
,114839561740.0,,49174.0,0
178.0,678790534.0,8965822558.0,,0
11.0,2591800000.0,2726800000.0,3182346.0,0
,36824700000.0,,21014220.0,0
30.0,8581185640.0,12706051821.0,159319442.0,0
66.0,6128334400.0,8663697400.0,74563502.0,0
13.0,2155006680.0,2156006680.0,94665705.0,0
,2578800000.0,,203125851.0,0
,,,3271837.0,0
22.0,7750000000.0,14300000000.0,4943278.0,0
,2041423890.0,,50529422.0,0
,238000000.0,,94140498.0,0
2.0,701989000.0,701989000.0,42365162.0,0
5.0,469860000.0,2934620000.0,,0
,,,1030791.0,0
,343245678157.0,,2314865151.0,0
3.0,5000000.0,34300000.0,5610416.0,0
,,,59779.0,0
,1139725423324.0,,,0
,4355000000.0,,23929404.0,0
,,,2902853.0,0
614.0,62827176976.0,115780991150.0,8907438964.6,0
,,,618419792.0,0
,1300000000.0,,794438326.0,0
91.0,2566956066.0,4045921136.0,162281757.0,0
2.0,13000000.0,35000000.0,9995487.0,0
,533132468676.0,,244969200.0,0
47.0,1131181216.0,4202347576.0,10964.0,0
,,,,0
,312147002511.0,,323065480.0,0
,,,39948.0,0
13.0,1333000000.0,2985000000.0,1981193.0,0
22.0,9799615514.0,16055125774.0,156351.0,0
,1976000000.0,,102738975.0,0
8.0,62150000.0,235150000.0,3770395.0,0
,,,,0
,,,133839148.0,0
,3565000000.0,,161748232.0,0
,,,1674524.0,0
7.0,,108703882.0,29014.0,0
,,,1509557.0,0
,,,143636884.0,0
,,,18000.0,0
13.0,1263052400.0,1301516300.0,224347764.0,0
,,,1065393.0,0
12.0,250000000.0,400000000.0,7545401.0,0
4.0,,19845650.0,20839898.0,0
41.0,834193095.0,2167817211.0,15469698.0,0
,,,18384825.0,0
,,,1000933.0,0
6.0,515974513.0,515974513.0,675487.0,0
93.0,4952777362.0,8518926362.0,1491549.0,0
,,,1314278.0,0
4.0,10000055000.0,25000055000.0,398890327.0,0
,,,477969922.0,0
,172050000000.0,,2941885065.0,0
,8399835224.0,,24099446.0,0
,153213026443.0,,26447507.0,0
,,,961466960.0,0
,,,146399745.0,0
,,,3255930.0,0
,44603234494601.0,,6109250210.3,0
41.0,2308488064.0,4308065579.0,483850.0,0
,,,57890580.0,0
,116709663400.0,,2648397.0,0
1.0,2500000000.0,2500000000.0,313687959.0,0
,,,,0
,,,34034192.5,0
,2057118968980.0,,,0
,,,6415191.0,0
15.0,7192110.0,1893523804.0,366184484.0,0
,63773781623.0,,650580547.0,0
,1028728298251.0,,4995404.0,0
,338000000.0,,1574570.0,0
,70367000000.0,,4790440.0,0
,,,444142.0,0
,9637440670.0,,,0
,,,349978000.0,0
,624000000.0,,97606.0,0
,,,146887.0,0
,1860000000.0,,418947.0,0
,,,,0
,2384856175.0,,1753348.0,0
1.0,,100000000.0,,0
,,,156168.0,0
,,,1058543139.0,0
,,,1499130.0,0
90.0,5647586287.0,10787046586.0,,0
9.0,,9371273.0,,0
,,,55505.0,0
,2967000000.0,,8532406.0,0
18.0,523024080.0,1051024080.0,11804586.0,0
3.0,127000000.0,129200000.0,157721.0,0
,,,330313518.1,0
70.0,17938729704.0,29673018725.0,7376465.0,0
,,,,0
,1318800000.0,,71737.0,0
,1699131470320.0,,,0
,8120604000.0,,1817067.0,0
,1122632686760.0,,,0
1.0,1000000.0,1000000.0,1000145.0,0
,,,138663345.0,0
30.0,4467411015.0,5530403279.0,493013.0,0
,,,1128459.0,0
,1717840773510.0,,,0
3.0,40000000.0,49747077.0,,0
131.0,118397674210.0,121978179278.0,293194073.1,0
,,,119755810.0,0
,,,75319.0,0
,53676000000.0,,73759045.0,0
,17948000000.0,,435787.0,0
,,,266254.0,0
,700000000.0,,69568233.0,0
,,,169427347.0,0
16.0,1571476209.0,1583380565.0,490291.0,0
,534399639600.0,,,0
,1189232486260.0,,,0
,17037883335.0,,,0
25.0,2358415637.0,4380788761.0,473871.0,0
16.0,455568000.0,786568000.0,3261741.0,0
,271400032665.0,,171235934.0,0
,4800000000.0,,14171688.0,0
43.0,61800737.0,93271997.0,994660.0,0
,,,,0
95.0,8161164000.0,13958774000.0,270389222.0,0
27.0,4105788948.0,7378955237.0,,0
,,,63481.0,0
,5223732784.0,,2532179.0,0
8.0,1609990000.0,7608990000.0,24401.0,0
,1680000000.0,,,0
,,,2978400.0,0
,,,31995668.0,0
,,,1762455.0,0
,,,75629260.0,1
,70500000.0,,1363600.0,0
,,,30398313.0,0
,1475000000.0,,49591213.0,0
,,,2850000.0,0
,3892000000.0,,43413443.0,0
1.0,910705723.0,910705723.0,10481071.0,0
,,,50146.0,0
,,,3211271.0,0
,,,12940263.0,0
,46550000000.0,,1761895527.0,0
,,,11035397.0,0
,,,8389.0,0
,,,49278451.0,0
,,,32473394.0,0
1.0,,90000000.0,,0
,62348000000.0,,128862.0,0
,1623606513.0,,1434136.0,0
,9294013089.0,,4065392.2,0
9.0,40241856.0,165417818.0,79052111.0,0
,209040000.0,,5215592.0,0
97.0,21655283561.0,26818196641.0,,0
,,,5779920.0,0
,17189976600.0,,41756545.0,0
,84060782689.0,,,0
,,,19868849.0,0
,,,19329.0,0
,36679200000.0,,1756248218.0,0
12.0,80480000000.0,136505000000.0,141778608.0,0
,109000000000.0,,850072701.3,0
,,,3098654.0,0
,,,34908.0,0
,3640000000.0,,209203.0,0
,,,,0
6.0,112362347.0,147138347.0,61731933.0,0
74.0,2249535672.0,4549933053.0,352396404.0,0
58.0,20247796106.0,60754107630.0,,0
,,,147887537.0,0
,34000000000.0,,,0
,,,413555666.6,0
,500000000.0,,1637491.0,0
,55000000.0,,49391.0,0
,16555000000.0,,633568930.0,0
,1840929460930.0,,4435495323.1,0
,,,8493973.0,0
,283425408564.0,,,0
1.0,,20000000.0,,0
,,,,0
,,,92117.0,0
90.0,2364894037.0,4286537542.0,204713425.0,0
,,,1743652.6,0
,,,1795640.0,0
,2475000000.0,,21850119.0,0
,65078603904.0,,20354003.0,0
103.0,4789416915.0,7929046011.0,,0
,,,145433.0,0
,12705899162.0,,258483057.0,0
78.0,4178418733.0,6506131538.0,5085.0,0
2.0,114000000.0,114000000.0,10613462.0,0
,,,1288516.0,0
,2114653120.0,,,0
,,,0.0,0
30.0,16542678493.0,27203679040.0,4755942.0,0
46.0,8514340000.0,11225855900.0,1070684.0,0
,,,162680694.0,0
,,,35301486.0,0
1.0,,2500000.0,,0
,2592983000.0,,29975938.0,0
,,,3181.0,0
53.0,738179840.0,1335951160.0,24654427.0,0
6.0,57400000.0,92400000.0,1044510.0,0
,28800000000.0,,1015461326.0,0
,1144302416334.0,,185252668.0,1
112.0,5749707680.0,9694391295.0,172950822.0,0
,77261601130580.0,,359701508.0,0
2.0,124400000.0,124400000.0,1613566.0,0
,,,942490.0,0
,,,41065.0,0
24.0,2347000000.0,3638000000.0,5192235.0,0
48.0,5860000.0,8537448201.0,568366.0,0
9.0,1800000000.0,2440000000.0,68738443.0,0
,2396496000.0,,698889.1,0
,,,437834440.0,0
,33286000000.0,,5449.0,0
6.0,500000000.0,800000000.0,236798630.0,0
,,,1358269.0,0
,149812509600.0,,39779471.0,0
,,,282699566.0,0
,,,47816721.0,0
2.0,,530000000.0,2760144.0,0
,24407889944.0,,2476413.0,0
,69600000000.0,,84818481.0,0
,232125000000.0,,1115648607.0,0
,16380.0,,,0
,,,15686127.0,0
6.0,1635397500.0,1785497500.0,1551698.0,0
,,,487503.0,0
3.0,19720000.0,59440000.0,174331.0,0
84.0,4724490286.0,6864432853.0,17066911.0,0
,6860000000.0,,4379146.0,0
360.0,45940476831.0,104353423278.0,,0
,,,1226964827.4,0
1.0,1047000.0,1047000.0,13627.0,0
60.0,710372472.0,1394598381.0,10501579.0,0
,2794190000000.0,,,0
77.0,,433779370.0,,0
,297845140230.0,,2377958634.0,0
,,,43301899.0,0
,,,54352.0,0
2.0,14036946.0,33525555.0,32575968.0,0
,869209627176.0,,344147.0,0
,,,2507929.0,0
,196510000000.0,,3332501.0,0
,291533008000.0,,4732226.0,0
,2025723775200.0,,886976870.0,0
,32859525000.0,,17178203.0,0
,3560668192756.0,,,0
42.0,1144617470.0,2369077889.0,1222765926.0,0
6.0,1484248200.0,2251319005.0,116735587.0,0
,92472808324.0,,2537910868.8,0
,42360000000.0,,1095631646.0,0
,,,963004.0,0
93.0,34099835787.0,64508336795.0,602953535.0,0
,37370000000.0,,,0
,28156425960.0,,529905953.0,0
,,,270139530.0,0
,1185653416081.0,,1291735397.0,0
45.0,816130000.0,2095852000.0,1148982.0,0
,,,61580.0,0
,,,139600.0,0
,308832883758.0,,,0
,,,3551332.0,0
,23698232.0,,,0
,1018183484423.0,,,0
92.0,7156267771.0,17247086679.0,60431395.0,0
,1246563600.0,,522385.0,0
,780000000.0,,310417.0,0
,1938000000.0,,18065410.0,0
,47600743320.0,,628748491.0,0
73.0,1079168806.0,1852194828.0,9871263.0,0
,,,8995692.0,0
,,,109392584.0,0
111.0,189388163.0,319552490.0,1233249.0,0
186.0,5955173820.0,5955173820.0,917133881.0,0
39.0,970225040.0,1643083612.0,177857259.0,0
1.0,100000000.0,100000000.0,6619000.0,0
16.0,1115486274.0,3101918874.0,3555217.0,0
,,,23790653.0,0
1.0,,280000000.0,37668350.0,0
,,,57084.0,0
,38944000000.0,,45118504.0,0
,351867717000.0,,62762221.0,0
,124900300000.0,,96949709.0,0
,,,5657959.0,0
4.0,200961980.0,200961980.0,4494315.0,0
,,,107989.0,0
25.0,1900845000.0,3514215000.0,1090909.0,0
,35100000000.0,,,0
89.0,500322964.0,819191827.0,,0
,,,2350153.0,0
233.0,29453031576.0,54036561584.0,1196808531.0,0
,,,322183.0,0
,44200000000.0,,32772141.0,0
14.0,610757257.0,610757257.0,251672.0,0
,14941500000.0,,100373852.0,0
,9327931965.0,,,0
,,,62276.0,0
,,,978545.0,0
230.0,13638346000.0,32948585460.0,1831903.0,0
,,,25537.0,0
19.0,1123826659.0,1317935699.0,6828211.0,0
,74276665200.0,,70032265.0,0
,,,604180815.0,0
38.0,8075845603.0,8253488064.0,60808.0,0
,2000000000.0,,17563027.0,0
11.0,1345978372.0,1354078372.0,6423546.0,0
23.0,879208735.0,2268831485.0,590151.0,0
,2175702000000.0,,1682911872.0,0
,,,112342.0,0
35.0,18871188.0,31616698.0,1672111.0,0
,,,997.0,0
,,,934283.0,0
102.0,5630685817.0,8498045584.0,,0
,18216080200.0,,181963217.0,0
89.0,11732268988.0,14561739880.0,16057700.0,0
,,,23527736.0,0
,1114015284.0,,1357790427.2,0
2.0,521411298.0,521411298.0,36508979.0,0
,2160000000.0,,33260036.0,0
15.0,638682295.0,644314295.0,104737199.0,0
62.0,90908040.0,126416406.0,,0
,59744486949.0,,7266303.0,0
,8416399900.0,,,0
,159358000000.0,,1187465005.0,0
60.0,725649210.0,1465556419.0,19872.0,0
,225000000.0,,8708266.0,0
,30654856860.0,,,0
7.0,720000000.0,1125000000.0,1832391.0,0
,,,1273715187.0,0
16.0,313357092.0,582657092.0,,0
179.0,26882432822.0,43590931053.0,,0
,,,11471.0,0
,161200000.0,,1251870.0,0
11.0,4557943660.0,6676348060.0,16639027.0,0
,11128000000.0,,57746.0,0
,178995101312.0,,440208.1,0
,44547137640.0,,8249403.0,0
,,,17497310240.0,0
,,,11185128.0,0
,4848327256.0,,118853743.0,0
,,,1791111.0,0
,3126500000.0,,18316814.0,0
42.0,10546229264.0,10546229264.0,146122687.0,0
,1870246344.0,,30517305.0,0
,12648000000.0,,3481503.0,0
24.0,5844283.0,76340714.0,,0
37.0,10908421.0,21943696.0,2672554.0,0
,41457703584.0,,,0
,16085779440.0,,67707700.0,0
,,,120840.0,0
1023.0,19616082255.0,36558603869.0,23269871.0,0
,,,11417.0,0
2.0,5683200.0,5683200.0,14197344.0,0
34.0,8114700000.0,29114700000.0,820497.0,0
19.0,1008076185.0,1008687185.0,230513.0,0
12.0,110571479.0,238771479.0,1004264.0,0
43.0,77024750000.0,143422400000.0,10495453.7,0
,60000000000.0,,1265346.0,0
15.0,18166484438.0,18166484438.0,322600.0,0
,,,202112.0,0
22.0,1866838668.0,3684139668.0,64836.0,0
,,,368204417.0,0
165.0,8412819275.0,15016702135.0,15067406.0,0
,6445749331.0,,39590490.0,0
,8170000000.0,,9865501.0,0
,127813154190.0,,1628977939.0,0
2.0,500000.0,1597575.0,810566.0,0
1.0,2000000.0,2000000.0,70440.0,0
,39029920284.0,,3417428.0,0
,,,1053361593.0,0
,,,,0
14.0,22282995.0,49962833.0,74824.4,0
,,,121541909.0,0
,,,20389375.0,0
,,,1156385.0,0
,,,1000000.0,0
23.0,560927533.0,1496276915.0,1635301.0,0
3.0,685000000.0,685000000.0,10036207.0,0
,,,3544697728.0,0
51.0,3811208120.0,9593745668.0,4211293.0,0
3.0,268000000.0,268000000.0,4686491.0,0
4.0,,880300000.0,30480.0,0
,,,,0
,,,,0
,58444202916.0,,159709839.0,0
,955241354000.0,,5913425361.0,0
,,,1250056.0,0
,15400000000.0,,181612769.0,0
,13020000000.0,,775987.0,0
144.0,13869572507.0,27783043665.0,297759461.5,0
,,,12831.0,0
1.0,1000000.0,1000000.0,406000.0,0
123.0,58608381954.0,103314983778.0,,0
,7050000000.0,,363673.0,0
1.0,6534231.0,6534231.0,4477627.0,0
,,,,0
,23962791565.0,,802358060.0,0
,14749500.0,,7508563.0,0
,,,28062936.0,0
,,,161522969.0,0
10.0,100000000.0,1375466109.0,,0
,71217000000.0,,,0
50.0,22569489185.0,40530895274.0,14012552.0,0
,,,650186.0,0
29.0,3788602943.0,6332402943.0,37813112.0,0
24.0,824723300.0,1162452203.0,50187671.0,0
,8800000000.0,,307771436.0,0
,,,2539778.0,0
,608175000000.0,,97356487.0,0
,,,464678.0,0
,,,24000.0,0
,,,79346691.0,0
,,,,0
,177104901210.0,,983921.0,0
,,,1000055.0,0
17.0,1545394217.0,4594224058.0,177306.0,0
,240000000.0,,1358802.0,0
,4160000000.0,,60937144.0,0
,,,856633.0,0
,3792000000000.0,,2941864914.4,0
,,,262850000.0,0
65.0,1120438435.0,1908917904.0,10168836.0,0
,120866765000.0,,,0
,3090218160498.0,,,0
,146160000.0,,28393332.0,0
,,,2670461.0,0
,,,31946735.0,0
,,,41064017.0,0
,,,15896410.0,0
,2801943636576.0,,106654520.0,0
28.0,39642053.0,99867782.0,163425247.0,0
,5670000000.0,,1194258.0,0
,,,3940.0,0
,705926465349.0,,36337129.0,0
,206280000000.0,,688121322.0,0
,,,54559.0,0
29.0,944438001.0,2032802826.0,3220268.0,0
1.0,199000000.0,199000000.0,243347.0,0
,,,5659571.0,0
,225000000.0,,2155705.0,0
,30519102520.0,,,0
,,,38223.0,0
,,,10788668.0,0
58.0,198445466.0,4828268792.0,16193790.0,0
,,,193833.0,0
5.0,849205000.0,849205000.0,879698.0,0
11.0,2989960000.0,2989960000.0,2032371830.0,0
,20800000000.0,,2001791.0,0
2.0,481000000.0,581000000.0,2441879.7,0
64.0,20553203976.0,20702991755.0,5635580.0,1
,,,38000.0,0
,3135000000.0,,161500607.0,0
,,,195389538.0,0
,1267962000.0,,13272.0,0
,,,1025993.0,0
,141610000000.0,,3754653.0,0
11.0,259690775.0,4717908458.0,21915.0,0
20.0,295000000.0,878000000.0,2153401.0,0
,,,182265438.0,0
,,,1020359.0,0
,,,706586.0,0
,,,0.0,0
,,,12910305.0,0
,,,109472396.0,0
,,,1659685.0,0
,,,5605882.0,0
2.0,,145000000.0,832613460.0,0
,152277300.0,,,0
,,,256378820.0,0
4.0,350573700.0,350573700.0,80429.0,0
3.0,,1173000000.0,79301.0,0
,20311500000.0,,65503961.0,0
,100000000.0,,49101295.0,0
,,,30384025.0,0
,,,500000.0,0
,,,113738039.0,0
10.0,764000000.0,1221900000.0,112554.0,0
72.0,1140733880.0,1962765527.0,216089562.0,0
11.0,50914760.0,251754000.0,5070537.0,0
254.0,10135549071.0,16088952553.0,658334401.0,0
4.0,501816438.0,1004380822.0,,0
,,,11753233.0,0
,12276003273480.0,,64208866.0,0
,,,29965879.0,0
30.0,1097201615.0,3156063016.0,6902551.0,0
132.0,10957845153.0,14129073593.0,69960595.0,0
,2598663330.0,,,0
,,,40410000.0,0
,5857942915.0,,591363.0,0
,,,18493552.0,0
,553244658342.0,,,0
,,,,0
,,,85269147.0,0
,,,,0
,,,72865243.0,0
,,,46667854.0,0
16.0,1355000000.0,3893000000.0,1058238.0,0
,916479097561.0,,,0
,7000000000.0,,193628218.0,0
,,,199774965.0,0
,,,0.0,0
108.0,3792376638.0,7310212653.0,10013.0,0
,,,16960950.0,0
26.0,499000000.0,6837054491.0,,0
,,,482149049.0,0
1.0,43000000.0,43000000.0,20974046.0,0
,,,1015551.0,0
,271691000.0,,5998675.0,0
11.0,1813000000.0,2716397000.0,1613175.0,0
,8008414095.0,,,0
,,,3456114.0,0
2.0,38000000.0,38000000.0,3082388.0,0
,570000000.0,,801757.0,0
,,,260623665.0,0
,,,75777.0,0
27.0,6230000000.0,19770000000.0,55012112.0,0
,2844000000.0,,49149408.0,0
,151034154000.0,,1000000.0,0
193.0,35477439780.0,106570650782.0,,0
,17681824714.0,,135453534.0,0
,211306500000.0,,107875374.0,0
,160560000000.0,,5083700.0,0
,134593996636.0,,11736.0,0
,,,131167259.0,0
,34188916408.0,,482319.0,0
,221846372506.0,,1063618.0,0
,,,84783924.0,0
,,,2847979.0,0
80.0,21428461738.0,43507147188.0,3601198.0,0
13.0,2116711353.0,2621583054.0,388781.0,0
2.0,10000000.0,360000000.0,4255832.0,0
,,,15004171.0,0
,20402735440.0,,,0
,1039047537132.0,,,1
23.0,508620000.0,1586648857.0,50974770.0,0
156.0,10945186770.0,28394199842.0,1208276374.0,0
22.0,2072095821.0,2163376524.0,643166.0,0
,,,19882578.0,0
,1171050780000.0,,362702833.0,0
,130000000.0,,22191242.0,0
29.0,2958889489.0,7796202714.0,4974758.0,0
,856915200.0,,52406404.0,0
,,,43078200.0,0
,305626608221.0,,1247267127.0,0
,,,707857.0,0
,,,,0
,23883825788643.0,,,0
,3676260978.0,,1533677.0,0
,2711622259505.0,,2700493225.0,0
8.0,49288000.0,201962001.0,108565449.0,0
,,,165617554.0,0
,568980000000.0,,194624883.0,0
,1428000000.0,,1384786.0,0
,2806080000000.0,,1249133000.9,0
,186404716665.0,,89272463.0,0
565.0,27502961825.0,57253944845.0,164831442.0,0
5.0,384591049.0,768147109.0,1611239.0,0
,65340000000.0,,57246783.0,0
,134657095872.0,,,0
,,,,0
,,,7298517.0,0
,15935749142.0,,1409075894.0,0
,9380000000.0,,2467736.0,0
94.0,3294682170.0,7025539966.0,4983331.0,0
,,,0.0,0
1.0,,2613000.0,2055505.0,0
,3590055040.0,,15923770.0,0
,,,102424.0,0
12.0,153000000.0,353000000.0,1404365.0,0
,,,215241882.0,0
,149510790784.0,,275380661.0,0
42.0,4756970279.0,9035218027.0,212422778.0,0
,1980000000.0,,71407365.0,0
,,,75481860.0,0
,,,14048.0,0
,1160587431198.0,,648969542.5,0
,,,563009.0,0
6.0,204690700.0,321690700.0,601049.0,0
2.0,,63000000.0,32393893.0,0
,5760000000.0,,,0
57.0,2181146487.0,4584500748.0,582654954.0,0
,8800000000.0,,692985115.0,0
5.0,80670000.0,110670000.0,94973559.0,0
,48380000000.0,,81809557.0,0
11.0,176403591.0,312013787.0,10070261.0,0
,,,84420.0,0
,,,69656474.0,0
,,,32079277.0,0
,,,,0
18.0,680297400.0,1965589400.0,3545490.0,0
,,,87385138.0,0
71.0,2577859924.0,4238109428.0,,0
,,,469.0,0
,,,21059631.0,0
,585709590446.0,,,0
,108000000000.0,,92496017.0,0
,,,90496160.0,0
108.0,4907716348.0,8282553162.0,474404990.0,0
,202000000.0,,35129287.0,0
,,,133835385.0,0
,,,9413811.0,0
,18000000000.0,,61084934.0,0
,,,119670.0,0
4.0,,4300000000.0,84094084.0,0
,117600000000.0,,9010164.0,0
,,,1677734.0,0
,,,11506926.0,0
124.0,7302426370.0,16850035735.0,27704.0,0
,,,1495040639.0,0
,273240000000.0,,,0
,,,47036307.0,0
,142600000000.0,,966547161.0,0
42.0,394966000.0,631756500.0,696323.0,0
8.0,13406530000.0,13406530000.0,205656.0,0
,1638190996.0,,229991206.0,0
,485757675000.0,,533982184.0,0
,,,211789.0,0
17.0,3149483490.0,9682357190.0,9607986.0,0
,,,50159784.0,0
19.0,4647332604.0,9159872330.0,10334662.0,0
730.0,30209594301.0,48028187799.0,,0
,,,29900.0,0
,,,437359982.0,0
13.0,1697606000.0,2705881200.0,178917590.8,0
,,,10649030.0,0
,38925000000.0,,204698959.9,0
363.0,18618170999.0,32363741269.0,,0
,1103922220224.0,,,0
,,,2631251590.0,0
,15848566062.0,,29440639.0,0
,,,93261465.0,0
,,,9489565.0,0
,7265738884.0,,8727.0,0
,107944192590.0,,1307255792.0,0
,,,162649.0,0
,350081218979.0,,1165064333.0,0
9.0,18940039.0,718395639.0,285940398.0,0
,,,1011474.0,0
33.0,93510024579.0,93510024579.0,1161813.0,0
129.0,21285966592.0,34396535807.0,,0
57.0,2360212289.0,4141859090.0,27893100.0,0
1.0,,7720000000.0,2611522.2,0
,,,237118.0,0
,7545450000.0,,59981372.0,0
26.0,1038577557.0,2068480932.0,4998232.0,0
,,,47246.0,0
1.0,,5000000.0,1173207.0,0
,544000000.0,,2855927.0,0
,,,46039.0,0
,289334290500.0,,358852386.0,0
91.0,4804363000.0,7464443000.0,17985320.0,0
,,,3030120.0,0
43.0,238082331.0,646406823.0,1160694.0,0
,1549500000.0,,258515143.0,0
,,,45686874.0,0
,,,,0
,,,380333.0,0
45.0,4568000000.0,10910000000.0,74973911.0,0
,,,69701.0,0
,,,444528250.0,0
,,,1454580.0,0
,,,1032387.0,0
22.0,3397440000.0,10786767627.0,63351342.0,0
,28057564800.0,,349559757.0,0
,,,67031106.0,0
,1930000000.0,,383223452.0,0
,532449280.0,,105009692.0,0
108.0,168854222.0,18716331755.0,,0
55.0,3888082440.0,6398137380.0,249037305.0,0
,1111351437714.0,,148370215.0,0
,,,200261050.0,0
28.0,1869706508.0,1918721834.0,26069.0,0
,,,7294217.0,0
,,,1498968.0,0
,360000000.0,,1517891.0,0
,,,81812393.0,0
,3348000000.0,,35900195.0,0
,7560000000.0,,258747411.0,0
,,,,0
6.0,752704933.0,752704933.0,3072115.0,0
,,,4912.0,0
1.0,174000000.0,174000000.0,161500.0,0
,1060000000.0,,37588216.0,0
,140400000.0,,16368734.0,0
1.0,9519120.0,9519120.0,10845977.0,0
,736000000.0,,7567888.0,0
,,,2780189.0,0
,,,84205161.0,0
87.0,1436712367.0,2732166916.0,16159242.0,0
,,,1413813.0,0
,,,77536240.0,0
3.0,94720000.0,94720000.0,29783899.0,0
,2667813421364.0,,1095213646.0,0
,18633600000.0,,4127053.0,0
26.0,3140183585.0,4361236340.0,2138111.0,0
,,,216455023.0,0
,,,280791.0,0
,,,16262980.0,0
,,,99034.0,0
59.0,2117822747.0,5006168918.0,0.0,0
,,,2913703.0,0
18.0,716560000.0,76839890000.0,9369421.0,0
45.0,2630310756.0,7143876546.0,,0
113.0,152083627650.0,334070376436.0,1841953.0,0
,,,,0
,,,,0
,116923546920.0,,143464.0,0
,295564643914.0,,,0
,,,87231597.0,0
,755068101802.0,,9249574.0,0
,,,10105433.0,0
29.0,1960252736549.0,3618435408711.0,6114263.0,0
,21249508080.0,,,0
4.0,12054969863.0,12132512282.0,2511728.0,0
,722857541711.0,,455461416.0,0
,45939700000.0,,149529.0,0
,,,134005215.0,0
,56431892.0,,7389417.0,0
,,,1067019.0,0
,1984765719.0,,545023.0,0
6.0,306000000.0,775414789.0,562788.0,0
74.0,4076971289.0,8437950441.0,6684737.0,0
,,,69722415.0,0
,3046047345732.0,,775065660.0,0
99.0,14832963474.0,29022774638.0,7120937919.0,0
,,,443945.0,0
,22364824896.0,,15538365.0,0
,,,4860973.0,0
60.0,1210935932.0,1863921448.0,31447316.0,0
,4811348140.0,,91156276.0,0
104.0,15510608603.0,33132990729.0,,0
24.0,1670542230.0,2079530341.0,23668030.0,0
5.0,635100000.0,635100000.0,1538757.0,0
588.0,9045243684.0,19555002305.0,,0
,30170760000.0,,85765161.4,0
,,,,0
,35000000.0,,28363530.0,0
,31385028786.0,,,0
,,,712756285.0,0
,3616070776.0,,20778515.0,0
,,,1536041.0,0
33.0,1063348025.0,15710053561.0,11835769301.0,0
,4295118509184.0,,5733379569.7,0
,44320703336.0,,,1
26.0,2016000000.0,4195500000.0,200021.0,0
41.0,6181856874.0,16529926652.0,3203754.0,0
,80622624885.0,,,0
,,,35000.0,0
,541135226232.0,,80110364.0,0
3.0,18000000000.0,28000000000.0,,0
,10026047152.0,,214138110.0,0
,82424507.0,,335940040.0,0
,,,2587357.0,0
1.0,180000000.0,180000000.0,10296338745.0,0
,,,25193128.0,0
4.0,9828367.0,9828367.0,21633.0,0
,,,1351630.0,0
,,,55791.0,0
,,,871042.0,0
,7732139763.0,,,0
,,,18809647.0,0
1.0,35000000.0,35000000.0,1425390.0,0
4.0,74000000.0,74000000.0,,0
,,,51060406.0,0
,35371411140.0,,51335739.0,0
9.0,17000000000.0,41850000000.0,7695388088.0,0
,,,5803836.0,0
,,,1284909.0,0
,,,916043.0,0
,225000000.0,,4272513.0,0
17.0,19881664000.0,56744668276.0,4424683.7,0
,,,487042204.0,0
,81022981035.0,,3906016.0,0
,,,41411861.0,0
,512009008000.0,,7365073.0,0
,18368600000.0,,4960712.0,0
64.0,5643619937.0,8757903737.0,,1
,38640000.0,,657114097.0,0
,,,1671653.0,0
4.0,29594303.0,34594303.0,773620.0,0
